Designator,Mid X,Mid Y,Rotation,Layer
C1,76.1,44.35,0.0,top
C2,76.1,46.85,0.0,top
C3,71.0946,16.2814,0.0,top
C5,59.6138,45.2374,90.0,top
D1,83.6,116.35,0.0,top
D2,74.35,33.85,0.0,top
D3,75.311,54.203,90.0,top
D4,82.85,57.35,90.0,top
D5,62.9666,54.0004,90.0,top
D6,83.85,87.85,270.0,top
D7,60.452,29.337,90.0,top
D8,54.35,89.55,270.0,top
D9,51.85,89.55,270.0,top
J1,69.5198,6.3754,270.0,top
J2,84.6,111.62,270.0,top
J3,74.676,29.4142,0.0,top
MH1,52.6,14.6,0.0,top
MH2,84.6,14.6,0.0,top
MH3,52.6,116.1,0.0,top
P1,51.2,102.88,270.0,top
P2,57.37,61.35,0.0,top
P3,77.87,61.35,0.0,top
Q1,69.342,49.804,90.0,top
Q2,63.8108,19.9246,90.0,top
Q3,77.089,38.735,270.0,top
Q4,62.3062,45.2374,270.0,top
R1,67.6,40.3,270.0,top
R10,60.7568,50.1904,180.0,top
R11,51.8,92.4,0.0,top
R12,55.4,94.0,0.0,top
R13,83.85,93.6,90.0,top
R2,73.6346,24.6888,0.0,top
R3,63.627,49.8094,270.0,top
R4,75.1,49.6,270.0,top
R5,77.6,42.1,180.0,top
R6,70.75,56.6,180.0,top
R7,60.452,33.3638,270.0,top
R9,61.1,36.85,0.0,top
SW1,84.6,101.6,90.0,top
SW2,53.0,79.5,90.0,top
SW3,65.4812,32.3088,90.0,top
T1,73.152,38.989,90.0,top
T2,61.341,41.402,180.0,top
U1,68.796,92.132,0.0,top
